name;rating;actor
im still here;6,2;jn
how do you know;5,4;jn
song of the shattered;6,8;jn
america lost and found;5,2;jn
into the wild;8,2;jn
the bucket list;7,4;jn
the departed;8,5;jn
anger management;6,2;jn
somethings gotta give;6,7;jn
about schmidt;7,2;jn
the pledge;6,8;jn
as good as it gets;7,7;jn
mars attacks;6,3;jn
blood and wine;6,1;jn
the evening star;5,8;jn
the crossing guard;6,3;jn
wolf;6,2;jn
a few good men;7,6;jn
hoffa;6,6;jn
man trouble;4,6;jn
the two jakes;6,1;jn
batman;7,6;jn
the witches of eastwick;6,5;jn
ironweed;6,8;jn
broadcast news;7,2;jn
heartburn;6;jn
prizzis honor;6,8;jn
terms of endearment;7,4;jn
the border;6,4;jn
reds;7,5;jn
the postman always rings twice;6,6;jn
the shining;8,4;jn
goin south;6,3;jn
the last tycoon;6,3;jn
the missouri breaks;6,6;jn
one flew over the cuckoos nest;8,7;jn
tommy;6,6;jn
professione reporter;7,6;jn
the fortune;5,7;jn
chinatown;8,2;jn
the last detail;7,6;jn
the king of marvin gardens;6,6;jn
carnal knowledge;7;jn
drive he said;5,9;jn
a safe place;5,3;jn
five easy pieces;7,5;jn
on a clear day you can see forever;6,7;jn
the rebel rousers;3,7;jn
easy rider;7,4;jn
head;6,6;jn
psych out;6;jn
the st valentines day massacre;6,7;jn
the trip;6,1;jn
hells angels on wheels;5,1;jn
the shooting;6,8;jn
ride in the whirlwind;6,6;jn
ensign pulver;5,9;jn
back door to hell;5,3;jn
flight to fury;5,6;jn
the terror;5;jn
the raven 6.7;6,7;jn
thunder island;5,5;jn
the broken land;5;jn
the little shop of horrors;6,3;jn
the wild ride;4,5;jn
studs lonigan;5,3;jn
too soon to love;5,5;jn
the cry baby killer;5,1;jn
star wars vii;8,1;hf
the age of adaline;7,2;hf
the expendables iii;6,1;hf
enders game;6,7;hf
anchorman ii;6,3;hf
42;7,5;hf
paranoia;7,5;hf
cowboys and aliens;6;hf
morning glory;6,5;hf
extraordinary measures;6,5;hf
a backyard story;8;hf
bruno;5,8;hf
crossing over;6,8;hf
indiana jones and the kingdom of the crystal skull;6,2;hf
firewall;5,8;hf
stephanie daley;6,3;hf
hollywood homicide;5,3;hf
k19 widowmaker;6,7;hf
what lies beneath;6,6;hf
random hearts;5,1;hf
five aces;5,2;hf
six days seven nights;5,7;hf
air force one;6,4;hf
the devils own;6,1;hf
sabrina;6,3;hf
les cent et une nuits de simon cinema;6,1;hf
clear and present danger;6,9;hf
jimmy hollywood;5,3;hf
the fugitive;7,8;hf
patriot games;6,9;hf
regarding henry;6,7;hf
presumed innocent;6,9;hf
indiana jones and the last crusade;8,3;hf
working girl;6,7;hf
frantic;6,9;hf
the mosquito coast;6,6;hf
witness;7,4;hf
indiana jones and the temple of doom;7,6;hf
star wars vi;8,4;hf
blade runner;8,2;hf
raiders of the lost ark;8,5;hf
star wars v;8,8;hf
apocalypse now;8,5;hf
more american graffiti;5,2;hf
the frisco kid;6,4;hf
hanover street;6,1;hf
force 10 from navarone;6,3;hf
star wars;8,7;hf
heroes;6;hf
the conversation;7,9;hf
american graffiti;7,5;hf
zabriskie point;7,1;hf
getting straight;6,3;hf
journey to shiloh;5,7;hf
a time for killing;5,4;hf
luv;5,4;hf
dead heat on a merry go round;6,1;hf
